C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0
N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000,N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000,N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000,N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000
50,80,272,970,2465,12249,22565,22529,22546,101,200,585,1865,6889,22541,22676,22777,22601,101,298,1040,3085,12193,22789,22504,22669,22714,130,370,1625,5801,21953,22644,22504,22536,22525
50,130,281,800,2293,12757,22516,22600,22685,89,169,545,1717,5930,22580,22664,22525,22601,117,272,980,3088,11237,22581,22696,22601,22745,148,340,1546,5825,22282,22516,22756,22564,22633
50,109,233,904,2249,11117,22664,22765,22625,65,173,680,1970,6340,22644,22717,22585,22585,100,226,1025,3314,11493,22621,22504,22570,22581,145,306,1602,5661,21250,22549,22529,22501,22669
45,117,281,866,2900,15385,22585,22525,22644,89,200,673,1850,7001,22525,22549,22745,22570,100,260,1040,3088,11633,22637,22689,22546,22529,145,349,1682,5732,20992,22536,22525,22601,22756
82,104,337,785,3536,12365,22573,22570,22580,82,205,625,1696,5450,22633,22644,22581,22570,113,234,898,3316,11713,22501,22745,22516,22725,169,298,1681,6100,21332,22562,22696,22562,22525
58,130,241,850,2410,11041,22633,22525,22565,82,148,676,1789,6130,22501,22585,22725,22522,109,234,1153,3172,11097,22565,22536,22760,22525,137,401,1706,6133,21970,22581,22581,22601,22621
50,125,346,865,2225,13576,22600,22658,22765,90,229,629,1745,5576,22565,22625,22681,22570,116,233,1124,3034,11633,22592,22601,22625,22516,125,409,1685,5661,22025,22504,22633,22504,22562
64,97,349,850,2234,12281,22580,22689,22714,65,173,730,1780,5620,22565,22544,22565,22525,121,234,1025,3104,11493,22669,22573,22669,22541,173,370,1625,5978,21968,22698,22504,22549,22621
53,90,290,626,2468,13337,22570,22698,22608,101,173,545,1700,6280,22525,22525,22501,22600,113,260,949,3141,11673,22730,22761,22621,22625,137,377,1789,5525,22217,22669,22570,22669,22756
85,104,293,890,2817,11458,22525,22608,22544,90,173,628,1813,6682,22625,22685,22672,22612,109,265,1000,3349,11221,22516,22501,22601,22706,145,349,1664,5933,22370,22525,22536,22669,22564
50,80,233,872,1908,12757,22562,22600,22738,100,164,544,1885,6205,22789,22721,22585,22777,122,298,986,3281,10585,22516,22642,22706,22525,145,377,1613,5713,21380,22525,22580,22745,22581
41,116,269,937,2560,13189,22625,22601,22689,104,200,592,1985,6565,22698,22613,22738,22685,130,225,964,2842,12106,22698,22625,22570,22600,125,349,1802,5729,21753,22730,22601,22765,22621
65,82,370,872,2713,14197,22613,22549,22509,90,180,676,1681,6917,22585,22525,22644,22689,104,226,845,3209,11285,22592,22546,22546,22589,148,328,1649,5498,21397,22516,22564,22549,22562
61,100,289,842,2141,11245,22600,22698,22562,73,157,661,1418,5770,22730,22637,22570,22509,121,265,981,3562,11113,22753,22760,22736,22613,170,370,1681,5812,22100,22601,22549,22600,22525
68,85,290,794,2330,12932,22504,22565,22525,85,148,482,1640,6865,22565,22621,22730,22706,90,260,964,3392,11474,22753,22633,22789,22585,137,370,1685,5897,22265,22633,22504,22725,22621
58,89,298,977,3274,12905,22736,22685,22565,104,200,628,1544,5594,22562,22580,22730,22514,104,250,853,3293,10996,22736,22625,22562,22549,130,377,1493,6010,21200,22581,22633,22562,22562
41,100,485,584,2269,13498,22589,22516,22721,101,197,725,1933,6381,22601,22509,22549,22685,125,241,928,3332,11338,22509,22585,22549,22504,148,340,1492,5576,21320,22501,22525,22600,22601
64,85,289,538,2509,12546,22525,22601,22529,89,200,650,1685,6562,22685,22765,22585,22580,145,250,985,2900,12500,22585,22525,22696,22672,148,401,1417,5933,22237,22525,22745,22516,22509
50,85,340,865,2088,13106,22525,22621,22608,80,170,634,1952,5512,22738,22546,22625,22698,104,244,730,3140,11106,22642,22706,22633,22525,137,400,1552,5812,21933,22685,22525,22765,22730
65,100,333,877,2405,11106,22514,22730,22634,97,160,557,1937,6497,22504,22658,22644,22525,130,241,1025,3233,11482,22525,22585,22625,22516,130,365,1602,5850,22370,22529,22516,22564,22504
45,137,397,626,2173,11357,22612,22573,22516,80,148,445,1810,5513,22730,22600,22522,22525,130,257,997,2978,12025,22756,22562,22600,22625,145,340,1565,6050,21690,22509,22621,22525,22581
64,117,296,905,2885,12113,22706,22658,22592,82,241,586,1930,6434,22580,22544,22529,22738,109,233,928,3313,11240,22753,22717,22529,22676,122,365,1682,6010,21605,22570,22501,22601,
65,125,265,829,2594,12644,22509,22676,22541,73,185,493,2218,6292,22625,22721,22589,22529,125,241,1145,3285,11626,22601,22730,22546,22634,145,349,1682,5473,21673,22549,22509,22580,22541
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010,22394,22562,,,22564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5785,22205,22504,,,22509
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5876,22345,22562,,,22644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6120,22516,22509,,,22789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5498,22217,22765,,,22644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6001,20840,22525,,,22525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5825,21290,22600,,,22564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5746,21386,22509,,,22525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5634,22536,22564,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5540,21041,22536,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978,21690,22621,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5641,22457,22570,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5485,21953,22525,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6100,21365,22509,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5780,22426,22562,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5620,21625,22777,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5284,21658,22501,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5993,22370,22509,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6165,21465,22549,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5492,21169,22642,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5645,21386,22580,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6125,22237,22525,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250,21572,22564,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5492,21060,22529,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5965,20933,22529,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6093,21605,22549,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5933,21709,22525,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5629,21929,22525,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5492,22516,22600,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6093,21605,22581,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6205,21953,22756,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5746,20970,22756,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5933,21778,22789,,,
