C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3
4802,730,5000,1396,5000,4901,3205,90,5000,1825,5000,4901,4901,1125,4901,3700,5000,5000,3461,153,4901,2410,5000,4709,3796,1233,5000,490,5000,2164,3229,197,4100,580,4616,898,1105,180,1314,170,1625,244,314,74,328,68,333,74,145,53,153,53,145,68
4709,100,4901,4616,4901,4901,5000,68,4901,1170,5000,4901,533,82,4901,433,5000,4901,4901,153,5000,961,5000,4901,4804,373,5000,1417,4901,2880,2180,81,4240,325,4709,845,1170,106,1300,202,1604,389,272,100,281,125,401,90,144,65,130,61,148,58
4517,265,5000,865,5000,4709,1009,130,5000,2105,5000,5000,5000,104,4901,1945,4901,4901,5000,244,4901,1629,4901,4901,3625,346,5000,1616,5000,2368,2626,90,4240,74,4709,929,1049,122,1220,250,1773,340,256,90,349,104,377,85,125,58,148,65,148,45
3578,290,5000,333,5000,5000,3242,65,4901,2785,5000,5000,4901,409,4901,3133,4901,4901,4100,106,4901,2977,5000,5000,2210,205,5000,1289,5000,2330,3825,485,4058,481,4709,585,170,200,1258,226,1609,244,338,68,325,97,401,74,122,40,130,58,128,53
4901,225,5000,1170,5000,4901,5000,1156,4901,1802,5000,5000,4325,164,5000,1268,5000,4901,5000,212,4901,3922,4901,5000,4901,232,4901,1186,5000,2516,2605,89,4001,394,4517,738,808,170,1305,137,1780,250,289,73,305,100,370,109,145,53,145,37,146,58
4901,197,5000,3130,5000,4901,4709,89,4901,562,5000,5000,5000,260,4901,1997,5000,4901,656,137,4901,4802,5000,5000,724,257,5000,1649,5000,2597,3400,173,4181,485,4426,706,1300,229,1394,194,1525,261,293,80,365,74,365,106,130,53,104,40,145,65
2669,58,5000,3557,5000,5000,2941,821,4901,853,5000,4901,4426,821,5000,377,5000,4901,2377,81,4901,3176,5000,5000,2600,89,5000,234,5000,2880,2725,122,4165,617,4804,745,757,90,1525,305,1546,293,340,65,377,85,401,81,130,50,125,50,148,65
530,52,5000,3796,5000,4901,4709,305,4901,61,5000,4901,4901,169,4901,701,5000,5000,4436,68,5000,4901,5000,4901,4709,82,5000,1332,5000,2056,2824,533,4021,493,4804,773,1066,122,1546,245,1525,288,232,90,442,90,349,82,169,37,145,53,153,52
4901,290,4901,1156,4901,5000,4709,232,4901,481,5000,5000,3589,65,4901,2644,5000,4901,4901,261,5000,3250,5000,4901,3653,666,5000,554,5000,2053,1493,290,4426,569,4901,977,218,68,1360,194,1565,377,349,125,325,89,365,104,146,50,144,65,145,74
3944,386,5000,505,5000,4901,5000,306,4901,1370,4901,4426,4517,850,4901,3461,5000,4901,4052,320,5000,520,5000,4901,5000,290,5000,1193,5000,2197,3785,109,4349,841,4616,680,953,148,1469,205,1717,292,274,90,298,97,370,104,130,82,125,53,144,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170,169,,185,4705,857,1000,137,1557,325,1546,241,289,68,377,85,400,100,125,34,145,61,130,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3412,296,,557,4705,848,1125,180,1381,298,1789,338,250,58,325,106,353,90,130,53,169,50,130,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2106,90,,416,4804,916,1109,205,1385,277,1570,221,241,65,305,74,365,109,113,49,125,58,144,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1585,365,4337,901,4709,754,1089,194,1460,250,1717,338,289,89,317,97,370,146,125,85,169,58,153,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,229,4181,625,4616,765,1234,90,1289,261,1604,400,272,82,404,68,353,100,109,65,130,53,148,73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3673,169,4325,626,4802,925,1130,53,1373,148,1625,292,313,65,340,85,370,145,146,40,145,53,148,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2861,293,4181,533,4901,697,1220,122,1429,205,1609,328,277,68,370,121,377,100,117,68,122,50,145,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3626,565,4250,362,4804,949,1090,178,1370,104,1616,234,333,68,328,100,400,116,125,68,136,37,145,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445,89,4001,449,4709,754,865,226,1402,234,1613,325,293,65,325,101,370,109,121,61,130,45,137,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3242,116,4325,349,4804,689,1025,173,1394,360,1604,164,320,85,349,65,328,148,130,40,130,53,148,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2689,58,4021,565,4804,802,698,200,1460,340,1649,289,298,85,340,74,340,148,148,50,148,50,145,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3077,281,4082,477,4802,845,1249,169,1412,233,1717,305,281,73,333,104,338,106,106,40,137,68,130,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516,488,3890,305,4705,928,697,242,1492,226,1602,250,289,65,377,98,370,116,122,37,145,65,145,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,653,4329,740,4802,962,1105,121,1346,365,1604,298,245,74,349,85,409,101,148,52,145,52,148,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570,58,4100,229,4610,800,1160,365,1346,218,1609,274,274,80,333,101,365,104,125,68,106,80,153,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,145,4420,277,4804,916,949,125,1530,196,1664,185,178,65,293,61,370,125,122,61,137,50,148,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3284,185,4240,442,4709,740,1192,170,1433,313,1706,265,305,109,370,113,340,104,125,68,122,53,130,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3285,45,3748,709,4901,740,965,200,1377,130,1681,242,274,80,362,53,365,109,130,68,130,53,130,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,433,4232,509,4610,1044,1241,116,1448,244,1717,305,281,90,314,109,328,109,122,68,137,73,130,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3490,185,3880,425,5000,842,697,181,1373,272,1765,229,221,50,362,52,362,85,101,40,170,61,125,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3026,305,4420,457,4610,794,1042,193,1360,185,1780,234,241,85,340,73,377,90,104,50,145,52,160,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2984,605,4165,593,4901,729,1082,205,1313,144,1690,320,333,104,346,53,353,104,146,50,130,53,144,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725,296,4050,361,4525,754,1060,200,1616,205,1700,298,314,65,325,80,362,68,125,50,130,53,145,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3796,245,4100,821,4709,850,720,116,1394,261,1625,274,296,80,272,104,362,122,125,52,144,53,125,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405,74,3965,289,4802,925,1153,225,1325,185,1625,370,277,82,349,109,409,164,125,52,121,68,170,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2957,170,4153,485,4901,797,1109,194,1346,232,1588,305,305,90,290,68,404,106,109,82,137,53,153,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916,153,4052,565,4901,909,1220,197,1352,218,1706,289,293,68,306,106,370,89,125,58,125,68,144,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3026,100,3973,425,4705,725,1193,97,1557,212,1649,445,241,85,205,85,365,125,100,61,148,53,130,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,212,4436,685,4802,754,1537,212,1602,148,1706,324,362,68,320,128,298,85,130,58,145,40,145,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2762,306,4426,629,4616,757,205,145,1469,233,1557,290,289,65,365,145,362,109,145,68,125,53,145,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3490,65,3706,289,4901,808,970,122,1413,233,1625,225,360,100,333,90,362,148,130,65,125,68,144,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,185,4250,637,4709,905,1229,97,1360,340,1773,340,289,68,377,65,397,109,136,41,145,40,160,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3233,194,4436,400,4705,1160,1114,185,1346,261,1616,293,245,65,349,82,377,106,125,53,122,52,145,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3229,346,4165,452,4705,680,1117,65,1325,113,1690,274,313,45,360,101,370,85,106,45,169,74,130,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180,205,4100,325,4901,809,1352,148,1220,194,1537,265,306,100,333,85,340,125,104,65,173,58,145,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3029,90,4165,601,4709,757,832,41,1490,260,1765,265,261,85,325,89,340,125,116,50,148,52,169,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3589,288,3845,377,4901,873,1160,160,1301,200,1685,234,293,68,333,160,365,85,130,52,130,40,137,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2885,292,4349,580,4901,833,866,68,1625,205,1525,356,377,101,293,106,409,104,117,65,169,58,148,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3176,169,3985,617,4709,1097,997,109,1040,185,1570,305,261,65,292,68,404,101,125,68,137,58,146,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3698,61,4349,610,4804,689,1060,52,1210,178,1690,274,293,65,314,170,365,117,122,50,130,52,145,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2938,261,4426,457,4426,757,1053,101,1226,212,1765,392,298,101,337,101,360,82,148,52,125,52,148,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2762,485,4337,416,4802,901,1241,52,1258,197,1649,333,365,82,289,80,362,130,130,80,137,80,148,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536,205,4153,232,4901,666,1440,208,1289,153,1557,373,212,89,325,97,333,117,125,40,116,53,148,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,244,4337,425,4804,784,1010,145,1360,425,1616,325,298,65,370,104,370,98,122,50,145,53,145,53
