C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3
2801,425,5000,1066,5000,4901,3460,225,5000,545,5000,4901,2120,401,4901,1268,4901,5000,578,306,5000,2474,5000,5000,3922,1796,5000,1044,4901,2434,2216,410,4802,740,4804,981,1268,244,1594,333,2050,562,401,130,493,178,585,208,325,125,234,170,290,104
4337,197,5000,234,4901,5000,4901,845,5000,901,5000,5000,4804,289,4901,3725,5000,4802,4616,181,4901,2405,5000,5000,4436,586,5000,1753,5000,2669,2657,505,4181,905,5000,914,1192,218,1421,229,1898,386,325,130,450,325,657,148,164,196,221,173,333,146
5000,605,4901,1649,5000,4901,4709,205,5000,2669,5000,5000,2861,212,5000,801,5000,5000,2137,205,5000,3328,5000,4901,3088,257,4901,1930,5000,2725,2525,457,4525,866,5000,1217,1513,137,1780,424,1874,545,578,136,409,145,634,200,185,121,257,101,232,130
4901,221,5000,4610,5000,5000,4804,333,5000,1585,5000,5000,3922,449,4901,3026,4901,5000,2885,761,4901,3074,5000,4901,4901,218,5000,1433,5000,3145,3293,464,4426,761,4901,1125,1060,170,1588,481,1828,370,370,194,441,145,509,173,205,170,234,104,272,153
4901,153,4901,2762,5000,5000,4804,325,5000,1466,4901,5000,2941,205,5000,2545,5000,5000,3077,997,4901,445,4901,4901,4264,720,5000,680,4901,2789,3625,541,4021,493,4901,954,1405,101,1642,373,2026,530,388,169,442,181,601,197,233,181,200,116,298,125
4804,333,4901,1665,5000,4802,4901,241,5000,1189,5000,5000,4802,500,5000,405,5000,4901,3029,1224,5000,1768,5000,5000,3341,452,5000,1906,5000,2621,3461,173,4436,769,4901,1021,1685,388,1445,194,2210,416,405,169,425,173,685,170,212,101,170,145,225,145
4901,317,4901,1189,5000,5000,4901,229,4901,1930,5000,5000,3725,477,5000,4337,5000,4901,4525,325,4901,2690,5000,5000,4436,1696,5000,1224,5000,2570,3560,226,3904,820,4901,884,1289,320,1620,260,1961,449,554,180,401,145,493,293,229,100,205,148,232,130
4901,226,5000,3797,5000,5000,4901,256,4901,1108,5000,4901,2801,314,5000,1585,5000,5000,4901,405,5000,2754,5000,4901,4082,725,4804,1924,5000,2650,3281,477,4250,793,4901,1156,1314,314,1636,277,1845,730,365,170,485,185,505,257,197,122,180,130,200,148
4804,466,4901,2756,4901,5000,3130,500,5000,1429,5000,5000,5000,601,5000,689,4901,4804,612,325,5000,2597,5000,4901,4901,490,5000,1354,5000,2741,4001,410,4804,585,4901,809,1440,340,1525,305,1765,424,338,125,488,148,485,241,289,82,289,125,261,122
4901,289,5000,4802,5000,5000,1202,298,4901,521,5000,5000,4181,877,5000,4165,5000,4901,3557,232,4901,2842,5000,4901,4804,1361,5000,2285,5000,2516,2725,409,4165,596,4709,1093,1145,290,1685,365,1940,450,337,153,401,173,580,197,293,125,200,125,226,116
